locus,peg_role,correction_type,correction_length
1,best,replacement,1
1,endo,replacement,1
1,worst,replacement,1
3,best,deletion,10
3,endo,deletion,10
3,worst,deletion,10
5,best,replacement,1
5,endo,replacement,1
5,worst,replacement,1
6,best,replacement,1
6,endo,replacement,1
6,worst,replacement,1
9,best,replacement,1
9,endo,replacement,1
9,worst,replacement,1
17,best,replacement,1
17,endo,replacement,1
17,worst,replacement,1
20,best,replacement,1
20,endo,replacement,1
20,worst,replacement,1
26,best,replacement,1
26,endo,replacement,1
26,worst,replacement,1
28,best,replacement,1
28,endo,replacement,1
28,worst,replacement,1
31,best,replacement,1
31,endo,replacement,1
31,worst,replacement,1
33,best,replacement,1
33,endo,replacement,1
33,worst,replacement,1
EM,best,replacement,1
EM,endo,replacement,1
EM,worst,replacement,1
FA,best,replacement,1
FA,endo,replacement,1
FA,worst,replacement,1
HE,best,replacement,1
HE,endo,replacement,1
HE,worst,replacement,1
RN,best,replacement,1
RN,endo,replacement,1
RN,worst,replacement,1
