n_rows,n_sub,n_ins,n_del,sub_single,sub_multi_mismatch,sub_contiguous_multi,sub_noncontiguous,max_blocks,median_gap_total,block_hist,study,dataset,n_sheets,pct_sub_noncontig,pct_all_noncontig,pct_multi_that_are_noncontig
184,125,58,1,113,12,0,12,6,4.0,"{1: 113, 2: 9, 4: 1, 6: 1, 5: 1}",anzalone,anzalone_endo,2,9.6,6.52,100.0
84,81,3,0,79,2,2,0,1,,{1: 81},deeppe,deeppe_endo,3,0.0,0.0,0.0
2000,1956,44,0,1956,0,0,0,1,,{1: 1956},deeppe,deeppe_ht,1,0.0,0.0,0.0
1974,1974,0,0,1974,0,0,0,1,,{1: 1974},deeppe,deeppe_position,1,0.0,0.0,0.0
4178,2037,2136,5,566,1471,604,867,5,4.0,"{4: 6, 3: 9, 1: 1170, 2: 847, 5: 5}",deeppe,deeppe_type,1,42.56,20.75,58.94
58717,31106,16470,11141,29058,2048,1948,100,2,1.0,"{1: 31006, 2: 100}",deepprime,deepprime_clinvar,1,0.32,0.17,4.88
22607,21956,338,313,1901,20055,1015,19040,9,8.0,"{1: 2916, 2: 9992, 3: 3861, 4: 3025, 5: 1560, 6: 457, 7: 116, 8: 23, 9: 6}",deepprime,deepprime_off,1,86.72,84.22,94.94
3650,1978,878,794,1824,154,139,15,2,1.0,"{1: 1963, 2: 15}",deepprime,deepprime_small,18,0.76,0.41,9.74
2299,0,2299,0,0,0,0,0,0,,,minsepie,library_insert_18nt,1,0.0,0.0,0.0
66,0,66,0,0,0,0,0,0,,,minsepie,library_insert_codon_hek3,1,0.0,0.0,0.0
465,0,465,0,0,0,0,0,0,,,minsepie,library_insert_codon_variant,2,0.0,0.0,0.0
6776,0,6776,0,0,0,0,0,0,,,minsepie,library_insert_piggybac,2,0.0,0.0,0.0
13639,0,13639,0,0,0,0,0,0,,,minsepie,library_insert_set12,3,0.0,0.0,0.0
10284,9400,799,85,870,8530,420,8110,8,5.0,"{1: 1290, 3: 2727, 2: 2386, 5: 978, 4: 1403, 6: 504, 7: 111, 8: 1}",optiprime,lib_cv,4,86.28,78.86,95.08
9614,6931,1343,1340,1542,5389,2691,2698,5,4.0,"{1: 4233, 2: 861, 4: 477, 5: 492, 3: 868}",optiprime,lib_mmr,4,38.93,28.06,50.06
36,30,3,3,28,2,1,1,2,3.0,"{1: 29, 2: 1}",optiprime,lib_mmr_controls,4,3.33,2.78,50.0
92423,57920,28420,6083,57920,0,0,0,1,,{1: 57920},pridict1,library1,1,0.0,0.0,0.0
1847,1676,146,25,1669,7,0,7,2,1.0,"{1: 1669, 2: 7}",pridict1,library2,10,0.42,0.38,100.0
1775,1609,141,25,1603,6,0,6,2,1.0,"{1: 1603, 2: 6}",pridict1,library2_invivo,1,0.37,0.34,100.0
23301,10727,6441,6133,6114,4613,3484,1129,2,5.0,"{1: 9598, 2: 1129}",pridict2,library_diverse,3,10.52,4.85,24.47
17775,8449,4937,4389,4882,3567,2634,933,2,4.0,"{1: 7516, 2: 933}",pridict2,library_diverse_invivo,1,11.04,5.25,26.16
