study,dataset,n_rows,n_sub,n_ins,n_del,single,noncontig_labeled,noncontig_extra_diffs,noncontig_any,contiguous_multi,noncontig_elen_gt_ndiff
anzalone,anzalone_endo,184,125,58,1,113,6,6,12,0,0
deeppe,deeppe_endo,84,81,3,0,79,0,0,0,2,0
deeppe,deeppe_ht,2000,1956,44,0,1956,0,0,0,0,0
deeppe,deeppe_position,1974,1974,0,0,1974,0,0,0,0,0
deeppe,deeppe_type,4178,2037,2136,5,566,828,22,867,604,17
deepprime,deepprime_clinvar,58717,31106,16470,11141,29058,0,0,100,1948,100
deepprime,deepprime_off,22607,21956,338,313,1901,0,19040,19040,1015,0
deepprime,deepprime_small,3650,1978,878,794,1824,0,0,15,139,15
minsepie,library_insert_18nt,2299,0,2299,0,0,0,0,0,0,0
minsepie,library_insert_codon_hek3,66,0,66,0,0,0,0,0,0,0
minsepie,library_insert_codon_variant,465,0,465,0,0,0,0,0,0,0
minsepie,library_insert_piggybac,6776,0,6776,0,0,0,0,0,0,0
minsepie,library_insert_set12,13639,0,13639,0,0,0,0,0,0,0
optiprime,lib_cv,10284,9400,799,85,870,8110,0,8110,420,0
optiprime,lib_mmr,9614,6931,1343,1340,1542,2698,0,2698,2691,0
optiprime,lib_mmr_controls,36,30,3,3,28,1,0,1,1,0
pridict1,library1,92423,57920,28420,6083,57920,0,0,0,0,0
pridict1,library2,1847,1676,146,25,1669,0,0,7,0,7
pridict1,library2_invivo,1775,1609,141,25,1603,0,0,6,0,6
pridict2,library_diverse,23301,10727,6441,6133,6114,0,0,1129,3484,1129
pridict2,library_diverse_invivo,17775,8449,4937,4389,4882,0,0,933,2634,933
