study,dataset,n_rows,n_sub,scattered_count,holey_span,understated,overstated_other,contiguous_multi,single,noncontig
anzalone,anzalone_endo,184,125,6,0,6,0,0,113,12
deeppe,deeppe_endo,84,81,0,0,0,0,2,79,0
deeppe,deeppe_ht,2000,1956,0,0,0,0,0,1956,0
deeppe,deeppe_position,1974,1974,0,0,0,0,0,1974,0
deeppe,deeppe_type,4178,2037,828,0,22,17,604,566,867
deepprime,deepprime_clinvar,58717,31106,0,100,0,0,1948,29058,100
deepprime,deepprime_off,22607,21956,0,0,19040,0,1015,1901,19040
deepprime,deepprime_small,3650,1978,0,15,0,0,139,1824,15
minsepie,library_insert_18nt,2299,0,0,0,0,0,0,0,0
minsepie,library_insert_codon_hek3,66,0,0,0,0,0,0,0,0
minsepie,library_insert_codon_variant,465,0,0,0,0,0,0,0,0
minsepie,library_insert_piggybac,6776,0,0,0,0,0,0,0,0
minsepie,library_insert_set12,13639,0,0,0,0,0,0,0,0
optiprime,lib_cv,10284,9400,8110,0,0,0,420,870,8110
optiprime,lib_mmr,9614,6931,2698,0,0,0,2691,1542,2698
optiprime,lib_mmr_controls,36,30,1,0,0,0,1,28,1
pridict1,library1,92423,57920,0,0,0,0,0,57920,0
pridict1,library2,1847,1676,0,7,0,0,0,1669,7
pridict1,library2_invivo,1775,1609,0,6,0,0,0,1603,6
pridict2,library_diverse,23301,10727,0,1129,0,0,3484,6114,1129
pridict2,library_diverse_invivo,17775,8449,0,933,0,0,2634,4882,933
