state_key	role	cell	fold	weights_id
base_library1	base_A	—	—	pridict2__hek293t-pe2__20260917__7b513c
base_l1_clinvar	base_B	—	—	pridict2__hek293t-pe2__20260918__715433
ft_base_library1_hek_fold0	Model_A	hek	0	pridict2__hek-pe2__20260917__feab38
ft_base_library1_hek_fold1	Model_A	hek	1	pridict2__hek-pe2__20260917__956565
ft_base_library1_hek_fold2	Model_A	hek	2	pridict2__hek-pe2__20260917__677a7c
ft_base_library1_hek_fold3	Model_A	hek	3	pridict2__hek-pe2__20260917__45f737
ft_base_library1_hek_fold4	Model_A	hek	4	pridict2__hek-pe2__20260917__014ee9
ft_base_library1_k562_fold0	Model_A	k562	0	pridict2__k562-pe2__20260917__a6cde5
ft_base_library1_k562_fold1	Model_A	k562	1	pridict2__k562-pe2__20260917__7feb8e
ft_base_library1_k562_fold2	Model_A	k562	2	pridict2__k562-pe2__20260917__f645cf
ft_base_library1_k562_fold3	Model_A	k562	3	pridict2__k562-pe2__20260917__71ebda
ft_base_library1_k562_fold4	Model_A	k562	4	pridict2__k562-pe2__20260917__bd45cf
ft_base_l1_clinvar_hek_fold0	Model_B	hek	0	pridict2__hek-pe2__20260918__5a43c9
ft_base_l1_clinvar_hek_fold1	Model_B	hek	1	pridict2__hek-pe2__20260918__82b799
ft_base_l1_clinvar_hek_fold2	Model_B	hek	2	pridict2__hek-pe2__20260918__fcc60f
ft_base_l1_clinvar_hek_fold3	Model_B	hek	3	pridict2__hek-pe2__20260918__3d5cc7
ft_base_l1_clinvar_hek_fold4	Model_B	hek	4	pridict2__hek-pe2__20260918__c797c5
ft_base_l1_clinvar_k562_fold0	Model_B	k562	0	pridict2__k562-pe2__20260918__4bf050
ft_base_l1_clinvar_k562_fold1	Model_B	k562	1	pridict2__k562-pe2__20260918__978d0f
ft_base_l1_clinvar_k562_fold2	Model_B	k562	2	pridict2__k562-pe2__20260918__8c123e
ft_base_l1_clinvar_k562_fold3	Model_B	k562	3	pridict2__k562-pe2__20260918__f00e22
ft_base_l1_clinvar_k562_fold4	Model_B	k562	4	pridict2__k562-pe2__20260918__817778
ensemble_hek_fold0	ensemble	hek	0	mean(ft_base_library1_hek_fold0, ft_base_l1_clinvar_hek_fold0)
ensemble_hek_fold1	ensemble	hek	1	mean(ft_base_library1_hek_fold1, ft_base_l1_clinvar_hek_fold1)
ensemble_hek_fold2	ensemble	hek	2	mean(ft_base_library1_hek_fold2, ft_base_l1_clinvar_hek_fold2)
ensemble_hek_fold3	ensemble	hek	3	mean(ft_base_library1_hek_fold3, ft_base_l1_clinvar_hek_fold3)
ensemble_hek_fold4	ensemble	hek	4	mean(ft_base_library1_hek_fold4, ft_base_l1_clinvar_hek_fold4)
ensemble_k562_fold0	ensemble	k562	0	mean(ft_base_library1_k562_fold0, ft_base_l1_clinvar_k562_fold0)
ensemble_k562_fold1	ensemble	k562	1	mean(ft_base_library1_k562_fold1, ft_base_l1_clinvar_k562_fold1)
ensemble_k562_fold2	ensemble	k562	2	mean(ft_base_library1_k562_fold2, ft_base_l1_clinvar_k562_fold2)
ensemble_k562_fold3	ensemble	k562	3	mean(ft_base_library1_k562_fold3, ft_base_l1_clinvar_k562_fold3)
ensemble_k562_fold4	ensemble	k562	4	mean(ft_base_library1_k562_fold4, ft_base_l1_clinvar_k562_fold4)
